Entidad_federativa,Municipio,Tipo_de_Fuente,SO_2,CO,NOx,COV,PM_010,PM_2_5,NH_3,Entidad
Hidalgo,Villa de Tezontepec,Fuentes móviles carreteros,7.354,438.82,293.357,55.361,45.182,41.532,0.952,Hidalgo
Hidalgo,Villa de Tezontepec,Fuentes móviles que no circulan por carretera,1.574,21.371,44.852,4.425,3.662,3.552,0.014,Hidalgo
Hidalgo,Villa de Tezontepec,Fuentes naturales,,,191.573,286.908,,,,Hidalgo
Hidalgo,Tezontepec de Aldama,Fuentes de área,25.127,3340.108,330.554,825.644,703.486,451.397,307.813,Hidalgo
Hidalgo,Tezontepec de Aldama,Fuentes móviles carreteros,6.313,1290.998,265.556,148.459,11.943,10.86,1.971,Hidalgo
Hidalgo,Tezontepec de Aldama,Fuentes móviles que no circulan por carretera,0.4729999999999999,5.275,13.503,1.17,0.949,0.92,0.004,Hidalgo
Hidalgo,Tezontepec de Aldama,Fuentes naturales,,,351.987,614.732,,,,Hidalgo
Hidalgo,Tianguistengo,Fuentes de área,1.396,432.977,17.099,143.217,88.477,48.104,71.704,Hidalgo
Hidalgo,Tianguistengo,Fuentes móviles carreteros,0.748,178.471,32.137,20.169,0.7339999999999999,0.657,0.274,Hidalgo
Hidalgo,Tianguistengo,Fuentes móviles que no circulan por carretera,0.152,1.401,4.352,0.335,0.266,0.258,0.001,Hidalgo
Hidalgo,Tianguistengo,Fuentes naturales,,,233.772,2568.5,,,,Hidalgo
Hidalgo,Tizayuca,Fuentes fijas,143.497,244.153,503.851,144.81,57.306,41.416,7.598,Hidalgo
Hidalgo,Tizayuca,Fuentes de área,13.068,3758.979,174.527,2116.404,919.316,433.366,1485.016,Hidalgo
Hidalgo,Tizayuca,Fuentes móviles carreteros,23.244,3572.167,968.8660000000002,407.353,77.786,71.241,6.232,Hidalgo
Hidalgo,Tizayuca,Fuentes móviles que no circulan por carretera,0.131,3.689,7.527999999999999,0.441,0.1759999999999999,0.169,0.003,Hidalgo
Hidalgo,Tizayuca,Fuentes naturales,,,139.46,209.587,,,,Hidalgo
Hidalgo,Tlahuelilpan,Fuentes de área,5.333,924.77,71.332,294.208,257.735,122.661,99.888,Hidalgo
Hidalgo,Tlahuelilpan,Fuentes móviles carreteros,3.689,527.953,155.431,61.818,13.171,12.068,0.86,Hidalgo
Hidalgo,Tlahuelilpan,Fuentes móviles que no circulan por carretera,11.327,160.079,325.019,32.602,26.949,26.139,0.1,Hidalgo
Hidalgo,Tlahuelilpan,Fuentes naturales,,,64.928,98.017,,,,Hidalgo
Hidalgo,Tlahuiltepa,Fuentes de área,1.205,361.793,15.486,108.137,77.063,42.116,61.267,Hidalgo
Hidalgo,Tlahuiltepa,Fuentes móviles carreteros,0.941,147.485,39.722,16.375,3.814,3.493,0.21,Hidalgo
Hidalgo,Tlahuiltepa,Fuentes móviles que no circulan por carretera,0.092,0.8479999999999999,2.633,0.203,0.161,0.156,0.001,Hidalgo
Hidalgo,Tlahuiltepa,Fuentes naturales,,,243.114,1266.818,,,,Hidalgo
Hidalgo,Tlanalapa,Fuentes de área,4.055,1128.7,78.899,249.175,217.974,111.787,82.25499999999998,Hidalgo
Hidalgo,Tlanalapa,Fuentes móviles carreteros,5.184,487.069,204.39,58.393,26.3,24.152,0.879,Hidalgo
Hidalgo,Tlanalapa,Fuentes móviles que no circulan por carretera,0.1459999999999999,1.346,4.181,0.322,0.256,0.248,0.001,Hidalgo
Hidalgo,Tlanalapa,Fuentes naturales,,,163.251,249.122,,,,Hidalgo
Hidalgo,Tlanchinol,Fuentes de área,2.913,973.235,39.042,337.631,193.142,108.606,242.978,Hidalgo
Hidalgo,Tlanchinol,Fuentes móviles carreteros,2.79,388.063,113.158,43.957,11.36,10.413,0.6059999999999999,Hidalgo
Hidalgo,Tlanchinol,Fuentes móviles que no circulan por carretera,0.393,3.614,11.229,0.8649999999999999,0.686,0.666,0.004,Hidalgo
Hidalgo,Tlanchinol,Fuentes naturales,,,612.011,12515.379,,,,Hidalgo
Hidalgo,Tlaxcoapan,Fuentes de área,9.212,1027.216,134.428,432.527,248.038,127.308,148.474,Hidalgo
Hidalgo,Tlaxcoapan,Fuentes móviles carreteros,2.974,684.916,123.079,79.574,2.283,2.034,1.022,Hidalgo
Hidalgo,Tlaxcoapan,Fuentes móviles que no circulan por carretera,0.077,0.7059999999999998,2.192,0.169,0.134,0.13,0.001,Hidalgo
Hidalgo,Tlaxcoapan,Fuentes naturales,,,76.33,113.552,,,,Hidalgo
Hidalgo,Tolcayuca,Fuentes fijas,0.006,0.1779999999999999,1.418,40.643,0.763,0.1809999999999999,0.0,Hidalgo
Hidalgo,Tolcayuca,Fuentes de área,8.243,1915.525,99.192,361.126,351.275,242.487,563.991,Hidalgo
Hidalgo,Tolcayuca,Fuentes móviles carreteros,9.43,624.499,416.866,75.02599999999998,60.049,55.194,1.34,Hidalgo
Hidalgo,Tolcayuca,Fuentes móviles que no circulan por carretera,0.188,1.826,5.521,0.42,0.326,0.317,0.002,Hidalgo
Hidalgo,Tolcayuca,Fuentes naturales,,,220.789,330.243,,,,Hidalgo
Hidalgo,Tula de Allende,Fuentes fijas,114064.981,10317.231,14344.204,247.496,5591.319,3987.739,183.02,Hidalgo
Hidalgo,Tula de Allende,Fuentes de área,29.441,4782.917,418.298,1731.001,1485.13,618.383,475.391,Hidalgo
Hidalgo,Tula de Allende,Fuentes móviles carreteros,48.492,4958.733,1930.977,598.384,224.404,206.01,8.919,Hidalgo
Hidalgo,Tula de Allende,Fuentes móviles que no circulan por carretera,0.76,11.34,25.035,2.108,1.565,1.517,0.008999999999999998,Hidalgo
Hidalgo,Tula de Allende,Fuentes naturales,,,601.724,1042.293,,,,Hidalgo
Hidalgo,Tulancingo de Bravo,Fuentes fijas,437.082,4.338,41.713,1.101,39.076,26.591,0.6039999999999999,Hidalgo
Hidalgo,Tulancingo de Bravo,Fuentes de área,29.049,5878.885,370.281,2448.655,2011.918,788.802,814.98,Hidalgo
Hidalgo,Tulancingo de Bravo,Fuentes móviles carreteros,42.792,8020.692,1754.133,924.443,88.221,80.397,12.296,Hidalgo
Hidalgo,Tulancingo de Bravo,Fuentes móviles que no circulan por carretera,1.455,21.311,45.666,4.094,3.169,3.072,0.015,Hidalgo
Hidalgo,Tulancingo de Bravo,Fuentes naturales,,,329.568,451.334,,,,Hidalgo
Hidalgo,Xochiatipan,Fuentes de área,2.645,609.125,31.695,174.42,121.956,76.866,112.291,Hidalgo
Hidalgo,Xochiatipan,Fuentes móviles carreteros,0.7319999999999999,131.202,30.23,14.471,2.173,1.985,0.1779999999999999,Hidalgo
Hidalgo,Xochiatipan,Fuentes móviles que no circulan por carretera,0.196,1.804,5.606,0.432,0.343,0.332,0.002,Hidalgo
Hidalgo,Xochiatipan,Fuentes naturales,,,248.631,4495.58,,,,Hidalgo
Hidalgo,Xochicoatlán,Fuentes fijas,0.502,0.442,1.769,0.018,0.927,0.372,0.071,Hidalgo
Hidalgo,Xochicoatlán,Fuentes de área,0.95,285.133,11.402,86.96,73.04699999999998,36.043,52.692,Hidalgo
Hidalgo,Xochicoatlán,Fuentes móviles carreteros,1.464,166.846,59.54,19.303,7.216,6.623,0.3,Hidalgo
Hidalgo,Xochicoatlán,Fuentes móviles que no circulan por carretera,0.12,1.108,3.441,0.265,0.21,0.2039999999999999,0.001,Hidalgo
Hidalgo,Xochicoatlán,Fuentes naturales,,,91.258,2065.603,,,,Hidalgo
Hidalgo,Yahualica,Fuentes de área,2.887,709.421,30.764,231.492,130.208,84.49599999999998,134.26,Hidalgo
Hidalgo,Yahualica,Fuentes móviles carreteros,0.4789999999999999,118.894,21.512,13.008,0.699,0.631,0.185,Hidalgo
Hidalgo,Yahualica,Fuentes móviles que no circulan por carretera,0.19,1.746,5.423,0.4179999999999999,0.332,0.322,0.002,Hidalgo
Hidalgo,Yahualica,Fuentes naturales,,,249.06,4934.201,,,,Hidalgo
Hidalgo,Zacualtipán de Ángeles,Fuentes fijas,0.051,0.1719999999999999,0.403,0.002,0.021,0.014,0.007,Hidalgo
Hidalgo,Zacualtipán de Ángeles,Fuentes de área,2.449,854.945,36.458,494.782,276.611,96.445,75.521,Hidalgo
Hidalgo,Zacualtipán de Ángeles,Fuentes móviles carreteros,6.184,1245.733,249.687,141.643,11.553,10.509,1.905,Hidalgo
Hidalgo,Zacualtipán de Ángeles,Fuentes móviles que no circulan por carretera,0.048,0.439,1.363,0.105,0.083,0.081,0.0,Hidalgo
Hidalgo,Zacualtipán de Ángeles,Fuentes naturales,,,165.771,2260.708,,,,Hidalgo
Hidalgo,Zapotlán de Juárez,Fuentes fijas,0.115,0.3689999999999999,1.702,0.108,0.04,0.001,0.001,Hidalgo
Hidalgo,Zapotlán de Juárez,Fuentes de área,8.263,1893.282,110.541,439.302,368.12,230.821,137.031,Hidalgo
Hidalgo,Zapotlán de Juárez,Fuentes móviles carreteros,6.755,791.22,310.146,91.249,32.914,30.209,1.352,Hidalgo
Hidalgo,Zapotlán de Juárez,Fuentes móviles que no circulan por carretera,0.4169999999999999,4.987,11.908,1.079,0.881,0.8549999999999999,0.004,Hidalgo
Hidalgo,Zapotlán de Juárez,Fuentes naturales,,,205.545,309.102,,,,Hidalgo
Hidalgo,Zempoala,Fuentes fijas,1.436,1.644,6.067,0.094,144.392,22.063,0.196,Hidalgo
Hidalgo,Zempoala,Fuentes de área,22.728,5002.641,321.275,885.162,1131.179,622.765,1165.41,Hidalgo
Hidalgo,Zempoala,Fuentes móviles carreteros,17.004,2027.616,674.992,234.268,76.176,69.891,3.385,Hidalgo
Hidalgo,Zempoala,Fuentes móviles que no circulan por carretera,0.964,10.534,27.518,2.354,1.905,1.847,0.008999999999999998,Hidalgo
Hidalgo,Zempoala,Fuentes naturales,,,722.3909999999998,1112.217,,,,Hidalgo
Hidalgo,Zimapán,Fuentes fijas,0.0,0.002,0.003,0.0,246.277,183.499,0.0,Hidalgo
Hidalgo,Zimapán,Fuentes de área,7.424,1035.721,109.977,437.76,389.373,129.35,159.642,Hidalgo
Hidalgo,Zimapán,Fuentes móviles carreteros,6.043,1180.854,259.717,135.947,13.036,11.886,2.004,Hidalgo
Hidalgo,Zimapán,Fuentes móviles que no circulan por carretera,0.056,0.515,1.601,0.123,0.098,0.095,0.001,Hidalgo
Hidalgo,Zimapán,Fuentes naturales,,,623.587,1606.098,,,,Hidalgo
Jalisco,Acatic,Fuentes fijas,2.19,0.566,0.527,0.005,0.027,0.008999999999999998,0.018,Jalisco
Jalisco,Acatic,Fuentes de área,12.155,2493.916,112.636,539.707,670.16,528.601,3885.434,Jalisco
Jalisco,Acatic,Fuentes móviles carreteros,1.038,1410.221,435.072,170.104,17.617,16.1,3.916,Jalisco
Jalisco,Acatic,Fuentes móviles que no circulan por carretera,0.879,8.093,25.143,1.937,1.537,1.491,0.008,Jalisco
Jalisco,Acatic,Fuentes naturales,,,1161.789,5183.339,,,,Jalisco
Jalisco,Acatlán de Juárez,Fuentes fijas,0.0,188.743,112.733,0.0,1156.991,660.83,0.0,Jalisco
Jalisco,Acatlán de Juárez,Fuentes de área,4.719,338.23,20.876,276.713,106.325,67.398,386.588,Jalisco
Jalisco,Acatlán de Juárez,Fuentes móviles carreteros,0.4909999999999999,734.719,163.586,90.867,4.088,3.701,1.67,Jalisco
Jalisco,Acatlán de Juárez,Fuentes móviles que no circulan por carretera,0.8369999999999999,8.731999999999998,71.754,2.953,2.05,1.875,0.002,Jalisco
Jalisco,Acatlán de Juárez,Fuentes naturales,,,810.6559999999998,4840.873,,,,Jalisco
Jalisco,Ahualulco de Mercado,Fuentes fijas,2.509,0.024,0.2429999999999999,0.001,0.14,0.091,0.004,Jalisco
Jalisco,Ahualulco de Mercado,Fuentes de área,14.404,1052.961,53.003,347.511,282.368,193.888,232.904,Jalisco
Jalisco,Ahualulco de Mercado,Fuentes móviles carreteros,0.626,888.5539999999999,262.817,110.345,9.054,8.258,2.013,Jalisco
Jalisco,Ahualulco de Mercado,Fuentes móviles que no circulan por carretera,0.957,9.45,57.195,2.8,2.039,1.907,0.005,Jalisco
Jalisco,Ahualulco de Mercado,Fuentes naturales,,,749.255,3699.047,,,,Jalisco
Jalisco,Amacueca,Fuentes fijas,521.78,4.373,48.102,0.245,29.009,18.894,0.7,Jalisco
Jalisco,Amacueca,Fuentes de área,1.022,209.477,8.774,90.541,74.42,39.048,80.628,Jalisco
Jalisco,Amacueca,Fuentes móviles carreteros,0.1789999999999999,270.497,70.225,33.063,1.887,1.713,0.544,Jalisco
Jalisco,Amacueca,Fuentes móviles que no circulan por carretera,0.665,7.198,57.108,2.385,1.664,1.523,0.002,Jalisco
Jalisco,Amacueca,Fuentes naturales,,,636.977,5296.109,,,,Jalisco
Jalisco,Amatitán,Fuentes fijas,162.671,36.92,28.701,1.074,14.105,10.365,0.24,Jalisco
Jalisco,Amatitán,Fuentes de área,2.451,350.205,15.679,223.789,73.426,49.619,87.006,Jalisco
Jalisco,Amatitán,Fuentes móviles carreteros,0.381,560.531,148.026,67.933,4.491,4.086,1.229,Jalisco
Jalisco,Amatitán,Fuentes móviles que no circulan por carretera,0.4939999999999999,5.362,34.956,1.623,1.168,1.083,0.002,Jalisco
Jalisco,Amatitán,Fuentes naturales,,,793.307,4955.089,,,,Jalisco
Jalisco,Ameca,Fuentes fijas,1.703,256.467,154.165,0.003,1576.934,900.0059999999999,0.008,Jalisco
Jalisco,Ameca,Fuentes de área,31.357,3178.122,135.673,1143.155,679.612,467.347,978.942,Jalisco
Jalisco,Ameca,Fuentes móviles carreteros,2.069,3115.487,658.308,374.584,20.336,18.462,8.032,Jalisco
Jalisco,Ameca,Fuentes móviles que no circulan por carretera,1.262,12.02,36.064,2.836,2.259,2.191,0.011,Jalisco
Jalisco,Ameca,Fuentes naturales,,,700.237,4208.515,,,,Jalisco
Jalisco,San Juanito de Escobedo,Fuentes fijas,37.803,0.319,3.492,0.018,2.102,1.369,0.051,Jalisco
Jalisco,San Juanito de Escobedo,Fuentes de área,6.441,693.809,42.198,206.749,139.587,111.607,200.178,Jalisco
Jalisco,San Juanito de Escobedo,Fuentes móviles carreteros,0.2349999999999999,341.343,97.182,41.806,3.105,2.828,0.7349999999999999,Jalisco
Jalisco,San Juanito de Escobedo,Fuentes móviles que no circulan por carretera,0.958,10.816,51.986,2.886,2.171,2.047,0.006,Jalisco
Jalisco,San Juanito de Escobedo,Fuentes naturales,,,1071.959,5185.936,,,,Jalisco
Jalisco,Arandas,Fuentes fijas,1288.663,10.902,119.161,0.6079999999999999,71.032,46.259,1.741,Jalisco
Jalisco,Arandas,Fuentes de área,9.872000000000002,1970.926,95.8,1341.837,515.371,350.289,3175.02,Jalisco
Jalisco,Arandas,Fuentes móviles carreteros,2.908,4402.457,953.469,532.802,27.349,24.804,10.675,Jalisco
Jalisco,Arandas,Fuentes móviles que no circulan por carretera,1.23,11.32,35.167,2.709,2.15,2.085,0.011,Jalisco
Jalisco,Arandas,Fuentes naturales,,,768.432,2500.847,,,,Jalisco
Jalisco,El Arenal,Fuentes fijas,59.237,0.572,5.655,0.031,3.302,2.149,0.08599999999999998,Jalisco
Jalisco,El Arenal,Fuentes de área,6.627,732.815,28.08,319.877,160.227,122.713,223.153,Jalisco
Jalisco,El Arenal,Fuentes móviles carreteros,0.446,660.88,167.519,81.79099999999998,4.945,4.496,1.45,Jalisco
Jalisco,El Arenal,Fuentes móviles que no circulan por carretera,0.951,10.034,86.845,3.479,2.395,2.18,0.002,Jalisco
Jalisco,El Arenal,Fuentes naturales,,,908.617,5333.767,,,,Jalisco
Jalisco,Atemajac de Brizuela,Fuentes de área,1.353,285.408,11.419,103.948,108.409,50.822,71.321,Jalisco
Jalisco,Atemajac de Brizuela,Fuentes móviles carreteros,0.112,160.491,53.344,19.497,1.792,1.636,0.316,Jalisco
Jalisco,Atemajac de Brizuela,Fuentes móviles que no circulan por carretera,1.408,19.173,40.124,3.966,3.283,3.184,0.012,Jalisco
Jalisco,Atemajac de Brizuela,Fuentes naturales,,,223.849,876.88,,,,Jalisco
Jalisco,Atengo,Fuentes fijas,0.7159999999999999,0.006,0.066,0.0,0.04,0.026,0.001,Jalisco
Jalisco,Atengo,Fuentes de área,2.99,606.034,34.054,155.179,175.909,101.942,194.896,Jalisco
Jalisco,Atengo,Fuentes móviles carreteros,0.1019999999999999,156.918,41.315,18.675,1.12,1.018,0.2929999999999999,Jalisco
Jalisco,Atengo,Fuentes móviles que no circulan por carretera,0.804,8.96,22.967,1.989,1.612,1.564,0.007,Jalisco
Jalisco,Atengo,Fuentes naturales,,,622.413,3361.416,,,,Jalisco
Jalisco,Atenguillo,Fuentes de área,6.94,1146.967,45.984,225.752,213.379,158.343,121.004,Jalisco
Jalisco,Atenguillo,Fuentes móviles carreteros,0.17,225.834,80.863,28.469,2.883,2.634,0.498,Jalisco
Jalisco,Atenguillo,Fuentes móviles que no circulan por carretera,0.343,3.161,9.821,0.757,0.6,0.5819999999999999,0.003,Jalisco
Jalisco,Atenguillo,Fuentes naturales,,,199.905,793.291,,,,Jalisco
Jalisco,Atotonilco el Alto,Fuentes fijas,286.567,2.543,24.99,38.097,12.671,7.899,0.278,Jalisco
Jalisco,Atotonilco el Alto,Fuentes de área,9.437,1859.14,93.091,1016.663,531.603,331.116,2837.732,Jalisco
Jalisco,Atotonilco el Alto,Fuentes móviles carreteros,2.051,2989.545,787.2469999999998,363.052,26.583,24.216,7.152,Jalisco
Jalisco,Atotonilco el Alto,Fuentes móviles que no circulan por carretera,1.226,11.28,35.044,2.7,2.142,2.078,0.011,Jalisco
Jalisco,Atotonilco el Alto,Fuentes naturales,,,869.914,4278.322,,,,Jalisco
Jalisco,Atoyac,Fuentes de área,2.933,544.029,24.884,191.526,126.465,79.146,134.4,Jalisco
Jalisco,Atoyac,Fuentes móviles carreteros,0.1719999999999999,261.176,67.865,31.555,1.869,1.698,0.527,Jalisco
Jalisco,Atoyac,Fuentes móviles que no circulan por carretera,0.269,2.477,7.695,0.5929999999999999,0.47,0.456,0.002,Jalisco
Jalisco,Atoyac,Fuentes naturales,,,351.785,2422.482,,,,Jalisco
Jalisco,Autlán de Navarro,Fuentes fijas,0.028,325.872,195.854,0.001,2002.668,1142.993,0.004,Jalisco
Jalisco,Autlán de Navarro,Fuentes de área,14.782,1331.146,66.369,886.638,384.889,276.285,222.848,Jalisco
Jalisco,Autlán de Navarro,Fuentes móviles carreteros,2.198,3312.525,692.051,398.703,20.782,18.855,8.61,Jalisco
Jalisco,Autlán de Navarro,Fuentes móviles que no circulan por carretera,0.871,9.278,24.886,2.094,1.689,1.639,0.008,Jalisco
Jalisco,Autlán de Navarro,Fuentes naturales,,,510.117,8047.745,,,,Jalisco
Jalisco,Ayotlán,Fuentes fijas,198.506,1.677,18.327,0.09300000000000001,11.037,7.189,0.267,Jalisco
Jalisco,Ayotlán,Fuentes de área,7.338,1418.354,64.977,647.53,531.728,266.05,496.441,Jalisco
Jalisco,Ayotlán,Fuentes móviles carreteros,1.14,1716.741,389.31,204.566,12.338,11.214,4.295,Jalisco
Jalisco,Ayotlán,Fuentes móviles que no circulan por carretera,1.055,9.713,30.176,2.325,1.845,1.789,0.01,Jalisco
Jalisco,Ayotlán,Fuentes naturales,,,646.453,4549.791,,,,Jalisco
Jalisco,Ayutla,Fuentes de área,4.558,673.596,27.013,248.071,196.148,101.139,137.749,Jalisco
Jalisco,Ayutla,Fuentes móviles carreteros,0.322,489.83,122.732,59.626,3.13,2.839,0.972,Jalisco
Jalisco,Ayutla,Fuentes móviles que no circulan por carretera,1.206,14.459,34.416,3.124,2.552,2.476,0.011,Jalisco
Jalisco,Ayutla,Fuentes naturales,,,416.91,3518.403,,,,Jalisco
Jalisco,La Barca,Fuentes fijas,18.264,0.164,1.718,0.008999999999999998,1.017,0.662,0.026,Jalisco
Jalisco,La Barca,Fuentes de área,16.871,2991.25,137.795,1006.383,879.977,532.262,2327.087,Jalisco
Jalisco,La Barca,Fuentes móviles carreteros,1.799,2566.376,758.13,317.166,25.442,23.198,5.679,Jalisco
Jalisco,La Barca,Fuentes móviles que no circulan por carretera,2.523,24.137,114.972,6.55,4.935,4.685,0.018,Jalisco
Jalisco,La Barca,Fuentes naturales,,,1070.134,4583.521,,,,Jalisco
Jalisco,Bolaños,Fuentes de área,39.217,4348.321,137.924,427.734,468.492,395.664,111.995,Jalisco
Jalisco,Bolaños,Fuentes móviles carreteros,0.062,91.928,24.777,11.34,0.692,0.629,0.1759999999999999,Jalisco
Jalisco,Bolaños,Fuentes móviles que no circulan por carretera,0.096,1.124,2.749,0.245,0.2,0.194,0.001,Jalisco
Jalisco,Bolaños,Fuentes naturales,,,68.353,2070.012,,,,Jalisco
Jalisco,Cabo Corrientes,Fuentes fijas,0.003,0.003,0.012,0.0,0.001,0.0,0.001,Jalisco
Jalisco,Cabo Corrientes,Fuentes de área,9.188,1093.381,44.532,189.024,168.576,121.24,125.274,Jalisco
Jalisco,Cabo Corrientes,Fuentes móviles carreteros,0.17,262.161,59.502,31.658,1.503,1.362,0.552,Jalisco
Jalisco,Cabo Corrientes,Fuentes móviles que no circulan por carretera,1.962,18.059,56.102,4.322,3.43,3.327,0.018,Jalisco
Jalisco,Cabo Corrientes,Fuentes naturales,,,125.546,5877.71,,,,Jalisco
Jalisco,Casimiro Castillo,Fuentes fijas,0.1469999999999999,185.007,111.021,0.0,1137.771,649.363,0.0,Jalisco
Jalisco,Casimiro Castillo,Fuentes de área,13.772,1150.336,50.857,403.916,303.05,192.126,233.696,Jalisco
Jalisco,Casimiro Castillo,Fuentes móviles carreteros,0.563,852.7329999999998,211.037,103.352,5.937,5.392,1.83,Jalisco
Jalisco,Casimiro Castillo,Fuentes móviles que no circulan por carretera,0.47,4.407,13.444,1.047,0.8319999999999999,0.807,0.004,Jalisco
Jalisco,Casimiro Castillo,Fuentes naturales,,,452.238,6283.53,,,,Jalisco
Jalisco,Cihuatlán,Fuentes fijas,0.629,0.561,2.227,0.022,0.111,0.028,0.08899999999999998,Jalisco
Jalisco,Cihuatlán,Fuentes de área,3.146,659.728,27.684,604.703,146.569,103.033,83.077,Jalisco
Jalisco,Cihuatlán,Fuentes móviles carreteros,1.268,1966.649,312.714,229.973,8.542,7.705,5.62,Jalisco
Jalisco,Cihuatlán,Fuentes móviles que no circulan por carretera,0.778,7.162,22.249,1.714,1.36,1.319,0.007,Jalisco
Jalisco,Cihuatlán,Fuentes naturales,,,366.491,12362.275,,,,Jalisco
Jalisco,Zapotlán el Grande,Fuentes fijas,0.1189999999999999,0.069,0.153,0.001,0.079,0.065,0.002,Jalisco
Jalisco,Zapotlán el Grande,Fuentes de área,2.311,452.866,33.415,1617.744,136.809,84.32599999999998,396.387,Jalisco
Jalisco,Zapotlán el Grande,Fuentes móviles carreteros,4.116,6097.306,1410.449,743.9109999999998,44.083,40.066,15.336,Jalisco
Jalisco,Zapotlán el Grande,Fuentes móviles que no circulan por carretera,0.8449999999999999,9.45,24.111,2.094,1.698,1.647,0.008,Jalisco
Jalisco,Zapotlán el Grande,Fuentes naturales,,,635.156,4080.622,,,,Jalisco
Jalisco,Cocula,Fuentes fijas,1.682,0.028,0.2089999999999999,0.001,0.096,0.061,0.005,Jalisco
Jalisco,Cocula,Fuentes de área,9.464,892.871,46.394,439.81,252.747,162.365,1645.352,Jalisco
Jalisco,Cocula,Fuentes móviles carreteros,0.761,1144.695,263.482,138.667,7.614,6.913,2.706,Jalisco
Jalisco,Cocula,Fuentes móviles que no circulan por carretera,0.635,5.84,18.144,1.398,1.109,1.076,0.006,Jalisco
Jalisco,Cocula,Fuentes naturales,,,800.782,5238.329,,,,Jalisco
Jalisco,Colotlán,Fuentes de área,4.26,835.529,39.432,340.888,182.917,138.965,119.196,Jalisco
Jalisco,Colotlán,Fuentes móviles carreteros,0.4179999999999999,637.516,148.104,80.04,3.369,3.046,1.283,Jalisco
Jalisco,Colotlán,Fuentes móviles que no circulan por carretera,0.278,3.142,7.945999999999999,0.694,0.563,0.546,0.002,Jalisco
Jalisco,Colotlán,Fuentes naturales,,,271.04,5340.674,,,,Jalisco
Jalisco,Concepción de Buenos Aires,Fuentes de área,4.738,751.4579999999999,30.123,165.027,136.171,101.191,83.589,Jalisco
Jalisco,Concepción de Buenos Aires,Fuentes móviles carreteros,0.122,185.25,49.269,22.595,1.326,1.204,0.3449999999999999,Jalisco
Jalisco,Concepción de Buenos Aires,Fuentes móviles que no circulan por carretera,0.226,2.435,6.456,0.547,0.442,0.4289999999999999,0.002,Jalisco
Jalisco,Concepción de Buenos Aires,Fuentes naturales,,,505.19,1648.971,,,,Jalisco
Jalisco,Cuautitlán de García Barragán,Fuentes de área,23.71,2958.478,95.306,585.746,431.016,331.445,221.91,Jalisco
Jalisco,Cuautitlán de García Barragán,Fuentes móviles carreteros,0.2109999999999999,343.431,70.667,40.977,1.379,1.24,0.669,Jalisco
Jalisco,Cuautitlán de García Barragán,Fuentes móviles que no circulan por carretera,1.967,18.098,56.225,4.331,3.437,3.334,0.018,Jalisco
Jalisco,Cuautitlán de García Barragán,Fuentes naturales,,,151.172,3129.436,,,,Jalisco
Jalisco,Cuautla,Fuentes de área,2.098,273.368,9.736,63.131,50.359,33.073,44.573,Jalisco
Jalisco,Cuautla,Fuentes móviles carreteros,0.097,146.347,35.77,17.848,0.916,0.8309999999999998,0.2989999999999999,Jalisco
Jalisco,Cuautla,Fuentes móviles que no circulan por carretera,0.122,1.16,3.473,0.273,0.218,0.2109999999999999,0.001,Jalisco
Jalisco,Cuautla,Fuentes naturales,,,289.04,1176.94,,,,Jalisco
Jalisco,Cuquío,Fuentes fijas,0.0,0.335,0.5879999999999999,0.0,0.032,0.032,0.0,Jalisco
Jalisco,Cuquío,Fuentes de área,8.348,1725.05,75.88299999999998,454.98,443.21,291.127,305.773,Jalisco
Jalisco,Cuquío,Fuentes móviles carreteros,0.452,704.389,161.962,85.217,4.073,3.69,1.474,Jalisco
Jalisco,Cuquío,Fuentes móviles que no circulan por carretera,1.203,11.068,34.384,2.649,2.102,2.039,0.011,Jalisco
Jalisco,Cuquío,Fuentes naturales,,,892.287,4005.011,,,,Jalisco
Jalisco,Chapala,Fuentes fijas,49.955,11.401,23.338,0.092,3.808,2.837,0.11,Jalisco
Jalisco,Chapala,Fuentes de área,1.764,371.452,20.806,715.812,93.009,57.347,928.246,Jalisco
Jalisco,Chapala,Fuentes móviles carreteros,1.413,2144.083,448.311,267.175,9.811000000000002,8.849,4.755,Jalisco
Jalisco,Chapala,Fuentes móviles que no circulan por carretera,0.199,1.836,5.703,0.439,0.3489999999999999,0.338,0.002,Jalisco
Jalisco,Chapala,Fuentes naturales,,,119.702,843.741,,,,Jalisco
Jalisco,Chimaltitán,Fuentes de área,2.891,463.857,19.198,85.465,80.22499999999998,64.576,60.011,Jalisco
Jalisco,Chimaltitán,Fuentes móviles carreteros,0.024,39.222,8.59,4.71,0.152,0.136,0.066,Jalisco
Jalisco,Chimaltitán,Fuentes móviles que no circulan por carretera,0.104,0.96,2.982,0.23,0.182,0.1769999999999999,0.001,Jalisco
Jalisco,Chimaltitán,Fuentes naturales,,,170.999,2398.131,,,,Jalisco
Jalisco,Chiquilistlán,Fuentes de área,1.454,246.94,12.158,88.822,55.429,35.752,84.79,Jalisco
Jalisco,Chiquilistlán,Fuentes móviles carreteros,0.08,128.496,29.272,15.555,0.626,0.565,0.2419999999999999,Jalisco
Jalisco,Chiquilistlán,Fuentes móviles que no circulan por carretera,0.12,1.108,3.443,0.265,0.21,0.2039999999999999,0.001,Jalisco
Jalisco,Chiquilistlán,Fuentes naturales,,,254.951,2328.723,,,,Jalisco
Jalisco,Degollado,Fuentes de área,4.092,799.312,40.466,310.299,271.958,165.269,824.624,Jalisco
